RSPO szkoły,* liczba zdających,* zdawalność (%).1,średni wynik (%)
15314,55.0,100.0,53.70909090909091
6914,209.0,100.0,65.14832535885168
5686,115.0,100.0,66.18260869565218
74074,44.0,93.18181818181816,46.95454545454545
106722,38.0,100.0,55.78947368421053
73005,75.0,100.0,64.30666666666667
74201,16.0,100.0,53.75
24998,23.0,86.95652173913044,48.73913043478261
82490,156.0,98.70967741935485,50.39102564102564
27451,5.0,80.0,44.2
19638,174.0,100.0,60.172413793103445
44233,56.0,98.1818181818182,45.17857142857143
82392,229.0,100.0,59.53711790393013
29968,28.0,100.0,59.57142857142857
125533,12.0,75.0,37.75
64499,22.0,90.9090909090909,49.68181818181818
16699,139.0,100.0,54.58273381294964
91319,43.0,100.0,53.23255813953488
86513,28.0,100.0,45.21428571428572
72815,33.0,100.0,59.87878787878788
8761,81.0,100.0,55.407407407407405
12881,20.0,90.0,40.0
19739,31.0,61.29032258064516,27.774193548387096
10389,88.0,97.72727272727272,53.59090909090909
86832,107.0,98.13084112149532,53.55140186915888
23642,139.0,99.28057553956836,53.43884892086331
23644,103.0,95.14563106796116,48.42718446601942
44499,77.0,100.0,56.72727272727273
80423,44.0,97.67441860465117,49.2093023255814
6303,15.0,100.0,64.73333333333333
2928,250.0,99.6,56.568
68512,86.0,100.0,60.05813953488372
44038,168.0,100.0,56.517857142857146
3690,184.0,100.0,59.29891304347826
92706,26.0,96.15384615384616,55.88461538461539
92779,89.0,96.62921348314607,50.842696629213485
72255,49.0,97.87234042553192,48.91836734693877
72279,37.0,75.0,38.83783783783784
267600,11.0,81.81818181818183,40.45454545454545
48680,69.0,98.55072463768116,51.60869565217392
32089,82.0,96.34146341463416,50.0609756097561
60126,27.0,19.230769230769237,20.0
124192,233.0,100.0,56.957081545064376
11295,6.0,33.33333333333333,22.33333333333333
107530,19.0,94.73684210526316,45.526315789473685
11093,9.0,100.0,59.22222222222222
90414,117.0,100.0,63.60344827586207
14339,143.0,100.0,60.97902097902098
14369,188.0,97.32620320855617,55.29255319148936
81234,18.0,100.0,52.333333333333336
128606,47.0,80.85106382978722,42.297872340425535
79044,77.0,100.0,54.94805194805195
85351,23.0,95.65217391304348,52.17391304347826
8247,58.0,98.27586206896552,55.53448275862069
48339,15.0,100.0,55.333333333333336
29320,202.0,99.5049504950495,58.84577114427861
34359,80.0,100.0,59.8
18160,50.0,100.0,57.26
59910,75.0,100.0,62.6
59963,28.0,100.0,46.10714285714285
64830,112.0,98.21428571428572,54.17857142857143
59912,46.0,100.0,58.80434782608695
6692,29.0,96.55172413793105,43.82758620689656
20087,198.0,100.0,67.25252525252525
20872,85.0,98.82352941176472,55.6
20852,65.0,100.0,60.6
80067,47.0,97.87234042553192,48.5
6593,44.0,90.69767441860463,48.86046511627907
21317,76.0,96.05263157894736,48.32
132462,10.0,100.0,57.2
266980,11.0,100.0,62.36363636363637
9686,198.0,100.0,68.41919191919192
4648,114.0,97.36842105263158,56.09649122807018
4434,24.0,100.0,51.29166666666666
59647,20.0,100.0,52.8
125515,50.0,98.0,57.24
104319,21.0,100.0,47.333333333333336
21210,85.0,96.47058823529412,51.25
24047,163.0,99.38650306748468,59.22699386503067
81711,183.0,100.0,70.54098360655738
108754,161.0,100.0,57.98125
105235,19.0,100.0,52.578947368421055
130967,26.0,100.0,68.26923076923077
133512,48.0,100.0,62.520833333333336
196256,28.0,100.0,68.0
7709,92.0,100.0,62.35869565217392
20020,93.0,94.6236559139785,50.096774193548384
7710,12.0,91.66666666666666,54.25
8286,214.0,100.0,70.24299065420561
81721,17.0,100.0,56.70588235294117
20413,218.0,100.0,69.4862385321101
4881,109.0,100.0,61.88073394495413
25877,127.0,100.0,58.52755905511811
131637,7.0,100.0,53.71428571428572
133770,36.0,100.0,58.77777777777778
133501,85.0,98.82352941176472,60.15294117647059
133509,98.0,100.0,62.71428571428572
29919,58.0,100.0,58.189655172413794
25882,23.0,91.30434782608695,49.91304347826087
4435,182.0,100.0,60.5
79902,71.0,100.0,63.51428571428571
80061,57.0,98.24561403508773,61.05357142857143
70863,64.0,100.0,66.890625
75595,47.0,100.0,57.93617021276596
4927,169.0,100.0,61.30769230769231
20433,164.0,100.0,66.2439024390244
7711,169.0,100.0,55.78313253012048
27081,260.0,100.0,68.78846153846153
4735,249.0,100.0,77.97570850202429
19385,30.0,100.0,56.8
58279,22.0,100.0,48.63636363636363
84658,121.0,100.0,61.24793388429752
64262,31.0,100.0,54.54838709677419
7713,195.0,100.0,71.0974358974359
80098,36.0,94.44444444444444,52.22222222222222
19684,121.0,100.0,57.83471074380165
20145,61.0,98.36065573770492,62.18032786885246
25885,36.0,86.11111111111111,45.94444444444444
25507,40.0,92.5,50.575
107376,64.0,100.0,59.015625
91302,68.0,100.0,62.10294117647059
129344,30.0,100.0,60.833333333333336
125126,25.0,100.0,66.6
133078,53.0,100.0,64.88679245283019
133499,121.0,99.17355371900828,56.12396694214876
133500,147.0,100.0,59.21768707482993
133502,119.0,99.15966386554622,61.271186440677965
64266,5.0,60.0,43.0
19367,100.0,100.0,59.79
4236,169.0,100.0,66.45562130177515
19619,59.0,89.83050847457628,46.898305084745765
19384,128.0,100.0,56.63779527559055
68023,21.0,71.42857142857143,39.5
24472,47.0,97.82608695652172,52.4468085106383
20939,222.0,100.0,61.84234234234234
48102,71.0,100.0,58.7887323943662
55479,60.0,95.0,44.03333333333333
14831,85.0,100.0,63.71764705882353
49957,20.0,100.0,52.2
18168,29.0,96.55172413793105,51.44827586206897
15241,74.0,100.0,55.18918918918919
114733,20.0,90.0,44.35
18406,59.0,100.0,47.52542372881356
21560,29.0,100.0,51.75862068965517
75315,16.0,100.0,56.8125
18206,134.0,100.0,62.65909090909091
43738,19.0,94.73684210526316,42.31578947368421
24462,222.0,100.0,64.02702702702703
272222,22.0,95.45454545454544,49.04545454545455
15373,90.0,100.0,61.23333333333333
21678,90.0,100.0,60.766666666666666
48117,14.0,92.85714285714286,50.5
26629,25.0,100.0,55.52
18829,257.0,100.0,62.55118110236221
24803,201.0,100.0,63.517412935323385
29444,173.0,99.42196531791907,58.358381502890175
40812,48.0,97.87234042553192,44.66666666666666
26624,82.0,100.0,61.54878048780488
18364,98.0,97.91666666666666,47.35714285714285
64873,47.0,100.0,66.68085106382979
125064,101.0,100.0,65.25742574257426
21867,30.0,100.0,60.7
38843,141.0,98.57142857142858,52.57446808510638
133951,74.0,94.5945945945946,43.48648648648648
10772,194.0,100.0,61.324742268041234
10740,165.0,99.3939393939394,59.26060606060606
10741,40.0,97.5,51.725
21132,17.0,88.23529411764706,37.8235294117647
79277,47.0,100.0,55.42553191489362
22141,97.0,100.0,64.0
127576,9.0,44.44444444444444,27.55555555555556
22287,85.0,98.82352941176472,58.79761904761905
268800,49.0,97.95918367346938,53.645833333333336
