RSPO szkoły,* liczba zdających.2,* zdawalność (%).3,średni wynik (%).2
10330,128.0,100.0,92.88888888888889
58315,12.0,91.66666666666666,56.666666666666664
78987,14.0,100.0,65.14285714285714
119235,6.0,83.33333333333334,69.83333333333333
131614,13.0,84.61538461538461,61.15384615384615
88264,12.0,83.33333333333334,52.333333333333336
88278,6.0,60.0,33.5
125817,16.0,81.25,62.0
130408,9.0,100.0,88.77777777777777
129533,37.0,75.75757575757575,52.027027027027025
263525,19.0,100.0,68.6842105263158
12126,20.0,100.0,93.5
5431,84.0,100.0,97.6547619047619
5060,64.0,96.875,86.296875
5519,66.0,100.0,92.21212121212122
12233,79.0,100.0,91.1923076923077
22460,1.0,,
26424,164.0,100.0,90.1963190184049
16568,154.0,100.0,80.51948051948052
64753,4.0,,
86404,23.0,86.95652173913044,60.56521739130435
77993,24.0,100.0,82.29166666666667
43834,17.0,76.47058823529412,56.411764705882355
31842,12.0,100.0,59.0
24063,10.0,100.0,94.1
34968,4.0,,
25092,74.0,100.0,83.04054054054055
22959,151.0,100.0,89.94
24106,75.0,100.0,93.94666666666667
131700,20.0,73.33333333333333,47.85
276742,1.0,,
30203,36.0,85.71428571428571,57.80555555555556
19202,131.0,100.0,89.66412213740458
73138,52.0,92.3076923076923,75.36538461538461
55531,62.0,100.0,92.59677419354838
13908,24.0,60.86956521739131,38.458333333333336
23579,182.0,100.0,88.83516483516483
17862,131.0,100.0,81.12977099236642
4148,89.0,98.87640449438202,84.70786516853933
8509,50.0,100.0,72.72
8510,16.0,100.0,81.1875
93089,34.0,94.11764705882352,77.79411764705883
5092,19.0,100.0,78.26315789473684
93121,29.0,89.65517241379311,70.51724137931035
17834,9.0,100.0,68.88888888888889
13719,90.0,100.0,89.01123595505618
56982,55.0,100.0,79.25454545454545
124294,3.0,,
70909,47.0,100.0,79.54347826086956
75681,34.0,100.0,97.88235294117646
85164,27.0,100.0,95.29629629629629
84463,28.0,96.42857142857143,73.25
92846,29.0,100.0,85.0
84468,7.0,100.0,87.28571428571429
74636,115.0,100.0,95.52173913043478
25568,115.0,100.0,83.0695652173913
34526,176.0,100.0,95.5909090909091
34531,157.0,99.36305732484077,87.2484076433121
80864,81.0,100.0,96.17283950617283
89944,29.0,100.0,92.10344827586206
58354,123.0,100.0,94.4308943089431
84488,45.0,86.66666666666667,60.86666666666667
81294,55.0,90.0,63.21818181818182
120259,32.0,100.0,82.65625
87613,57.0,100.0,96.50877192982456
123263,10.0,90.0,74.3
4387,34.0,96.7741935483871,65.79411764705883
270509,11.0,100.0,66.9090909090909
271908,12.0,100.0,73.33333333333333
272822,17.0,100.0,93.58823529411765
272838,11.0,100.0,96.63636363636364
74208,104.0,100.0,85.57692307692308
60478,8.0,100.0,91.375
91985,31.0,100.0,78.0
24732,43.0,97.67441860465115,71.88372093023256
22868,36.0,91.42857142857143,68.05555555555556
23623,160.0,100.0,90.14375
23621,142.0,100.0,90.8943661971831
23622,34.0,94.11764705882352,84.38235294117646
23535,23.0,91.30434782608695,73.0
129527,3.0,,
20989,17.0,88.23529411764706,58.76470588235294
29883,18.0,100.0,79.61111111111111
68252,56.0,100.0,93.65454545454546
30458,58.0,94.73684210526315,74.17241379310344
30076,170.0,100.0,96.14117647058823
30101,153.0,100.0,89.06535947712419
27498,96.0,96.84210526315789,76.57894736842105
30058,25.0,96.0,62.8
26284,37.0,100.0,82.67567567567568
9126,69.0,100.0,94.05797101449275
41491,63.0,100.0,81.60317460317461
8663,172.0,100.0,91.78488372093024
8664,169.0,99.40828402366864,87.92899408284023
44112,27.0,100.0,68.11111111111111
44074,71.0,95.71428571428572,69.21126760563381
91988,19.0,100.0,91.57894736842105
52803,61.0,98.36065573770492,75.65573770491804
84260,18.0,94.44444444444444,67.55555555555556
58134,184.0,99.45652173913044,92.17391304347827
42178,26.0,88.46153846153845,59.03846153846154
42262,181.0,100.0,92.53333333333333
42364,165.0,98.7878787878788,75.11515151515151
38949,134.0,100.0,93.11194029850746
40944,95.0,100.0,90.02105263157895
49532,115.0,100.0,93.45217391304348
42024,190.0,100.0,92.5
42095,149.0,100.0,86.23489932885906
58221,43.0,100.0,88.90697674418605
85596,3.0,,
125851,22.0,100.0,87.31818181818181
264219,20.0,100.0,80.05
264221,65.0,96.92307692307692,73.21538461538462
270491,12.0,100.0,73.0
80592,1.0,,
25062,7.0,100.0,66.42857142857143
81509,22.0,95.45454545454545,77.77272727272727
53795,47.0,91.48936170212765,72.36170212765957
42015,61.0,93.44262295081968,62.67213114754098
73857,22.0,100.0,84.86363636363636
24237,160.0,100.0,95.30625
24218,156.0,100.0,87.77564102564102
24207,161.0,100.0,89.34782608695652
43493,17.0,82.35294117647058,57.1764705882353
130571,1.0,,
11245,74.0,100.0,96.04054054054055
11695,178.0,100.0,95.87078651685393
10381,45.0,100.0,92.31111111111112
8643,15.0,100.0,89.46666666666667
11050,132.0,100.0,92.78625954198473
11790,45.0,100.0,82.77777777777777
11492,54.0,98.14814814814815,80.37037037037037
11149,157.0,100.0,92.09554140127389
80889,1.0,,
84328,36.0,97.14285714285714,78.33333333333333
119262,18.0,94.44444444444444,65.0
49962,18.0,94.11764705882352,79.44444444444444
29786,11.0,100.0,78.54545454545455
264745,48.0,100.0,97.39583333333333
20220,38.0,92.10526315789474,68.97368421052632
19714,80.0,100.0,84.0
278126,12.0,100.0,87.91666666666667
20543,24.0,100.0,74.16666666666667
80648,163.0,100.0,89.12269938650307
69810,102.0,92.15686274509804,68.05882352941177
68310,33.0,100.0,69.59375
87215,21.0,100.0,72.52380952380952
108718,26.0,100.0,90.73076923076923
48145,8.0,100.0,64.125
269932,13.0,92.3076923076923,68.23076923076923
91408,13.0,69.23076923076923,36.15384615384615
91408,1.0,,
74792,82.0,98.78048780487805,87.95121951219512
89347,66.0,100.0,88.45454545454545
89261,55.0,100.0,92.8
12931,5.0,100.0,98.6
30409,17.0,100.0,94.0
12925,16.0,100.0,89.125
92352,28.0,100.0,94.78571428571429
28520,17.0,100.0,78.76470588235294
28724,22.0,100.0,87.18181818181819
3974,34.0,90.9090909090909,64.55882352941177
10803,4.0,,
10840,121.0,100.0,95.93333333333334
5738,83.0,98.79518072289156,75.07317073170732
5438,227.0,100.0,96.03083700440529
10845,88.0,100.0,88.86363636363636
5668,109.0,100.0,92.88990825688073
10812,30.0,96.66666666666667,76.63333333333334
5449,132.0,100.0,96.93939393939394
10830,48.0,97.91666666666666,83.02083333333333
10699,158.0,100.0,91.92405063291139
10090,4.0,,
23747,31.0,96.7741935483871,70.45161290322581
122479,48.0,100.0,77.20833333333333
263703,12.0,91.66666666666666,74.83333333333333
92728,43.0,100.0,87.51162790697674
49509,14.0,100.0,58.285714285714285
11190,2.0,,
53768,82.0,100.0,75.34146341463415
